source_project,Stage,Created Date,Primary Source,Apartment Sub Type,Apartment,Postal Code,City,First Time Buyer,1st Applicant Age,1st Applicant Gender,Industry,Occupation-1st Applicant,1st Appicant Annual Income,Annual Household Income in Lakhs
Blubelle,5.Booking Confirmed,17/5/2023,Channel Partner,3BHK LUX,Blubelle/A/801,560023.0,Bangalore,First Home,,,Retail,Salaried,,
Blubelle,5.Booking Confirmed,15/4/2023,Channel Partner,3BHK LUX,Blubelle/A/901,560004.0,Bangalore,First Home,,,Others,Business,,
Blubelle,5.Booking Confirmed,8/1/2025,Investor Sale,3BHK LUX,Blubelle/A/1001,560023.0,Bangalore,First Home,29.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,8/1/2025,Investor Sale,3BHK LUX,Blubelle/A/1101,560023.0,Bangalore,First Home,21.0,Male,Others,Student,,
Blubelle,5.Booking Confirmed,10/4/2023,Investor Sale,3BHK LUX,Blubelle/A/1201,560009.0,Bangalore,First Home,,,Others,HOUSEWIFE,,
Blubelle,5.Booking Confirmed,15/5/2025,Investor Sale,3BHK LUX,Blubelle/A/1301,572201.0,Tumkur,First Home,58.0,Male,Others,Business,4 Crores,
Blubelle,5.Booking Confirmed,11/9/2023,Investor Sale,3BHK LUX,Blubelle/A/1501,560053.0,Bangalore,First Home,60.0,,Others,Business,,
Blubelle,5.Booking Confirmed,14/8/2024,Purva Privilege,3BHK LUX,Blubelle/A/1601,560076.0,Bangalore,First Home,,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,27/6/2025,Channel Partner,3BHK LUX,Blubelle/A/1701,560072.0,Bangalore,Not First Home,58.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,16/9/2024,Channel Partner,3BHK LUX,Blubelle/A/1801,560033.0,Bangalore,First Home,,Female,Financial Services,Salaried,36-75 Lakhs,
Blubelle,5.Booking Confirmed,6/6/2025,Channel Partner,3BHK LUX,Blubelle/A/1901,520011.0,Vijayawada,First Home,38.0,Male,IT/ITES,Salaried,1Cr-1.5Cr,1Cr-1.5Cr
Blubelle,5.Booking Confirmed,11/9/2023,Investor Sale,3BHK LUX,Blubelle/A/2101,560053.0,BANGALORE,First Home,67.0,,Others,Salaried,,
Blubelle,5.Booking Confirmed,17/1/2025,Channel Partner,3BHK LUX,Blubelle/A/2201,586202.0,Bijapur,First Home,33.0,Male,Financial Services,Salaried,>75 Lakhs,
Blubelle,5.Booking Confirmed,8/3/2025,Channel Partner,3BHK LUX,Blubelle/A/2301,560023.0,Bangalore,First Home,48.0,Male,Transportation,Salaried,>75 lakhs,
Blubelle,5.Booking Confirmed,12/6/2025,Direct WalkIn / Site Branding,3BHK LUX,Blubelle/A/2401,560023.0,Bengaluru,First Home,36.0,Male,IT/ITES,Salaried,25L-30L,
Blubelle,5.Booking Confirmed,8/5/2025,Investor Sale,3BHK LUX,Blubelle/A/2501,560009.0,Bangalore,First Home,,Other,Real Estate,Business,>75 lakhs,
Blubelle,5.Booking Confirmed,27/6/2025,Channel Partner,3BHK LUX,Blubelle/A/2601,560072.0,Bangalore,Not First Home,,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,27/6/2025,Channel Partner,3BHK LUX,Blubelle/A/2701,560072.0,Bangalore,Not First Home,58.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,9/12/2024,Digital Marketing,3BHK LUX,Blubelle/A/2801,560086.0,Bengaluru,First Home,25.0,Male,Engineering,Business,30L-40L,50L-60L
Blubelle,5.Booking Confirmed,7/7/2024,Digital Marketing,3BHK LUX,Blubelle/A/2901,700092.0,kolkata,First Home,,Male,Others,Salaried,36-75 Lakhs,
Blubelle,5.Booking Confirmed,14/4/2023,Channel Partner,3BHK LUX,Blubelle/A/3001,560077.0,Bangalore,First Home,,,Others,Salaried,,
Blubelle,5.Booking Confirmed,16/4/2023,Channel Partner,3BHK LUX,Blubelle/A/3101,560010.0,Bangalore,First Home,,,Others,Business,,
Blubelle,5.Booking Confirmed,1/11/2025,Digital Marketing,3BHK Comfort,Blubelle/A/302,695035.0,Thiruvananthapuram,First Home,32.0,Female,Others,Homemaker,30L-40L,40L-50L
Blubelle,5.Booking Confirmed,16/1/2024,Digital Marketing,3BHK Comfort,Blubelle/A/502,680003.0,Thrissur,First Home,40.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,27/12/2023,Purva Champion,3BHK Comfort,Blubelle/A/602,587101.0,Bagalkot,First Home,,Female,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,26/5/2025,Investor Sale,3BHK Comfort,Blubelle/A/702,577201.0,Shimoga,First Home,34.0,Male,Others,SALARIED,>75 Lakhs,
Blubelle,5.Booking Confirmed,23/8/2023,Channel Partner,3BHK Comfort,Blubelle/A/802,560017.0,Bangalore,First Home,63.0,,Others,Retired,,
Blubelle,5.Booking Confirmed,23/8/2023,Digital Marketing,3BHK Comfort,Blubelle/A/902,410206.0,Navi Mumbai,First Home,30.0,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,30/10/2023,Digital Marketing,3BHK Comfort,Blubelle/A/1002,560079.0,Bangalore,First Home,,,Others,Retired,,
Blubelle,5.Booking Confirmed,20/1/2024,Digital Marketing,3BHK Comfort,Blubelle/A/1102,421204.0,Thane,First Home,,Male,Oil and Gas,Salaried,,
Blubelle,5.Booking Confirmed,13/5/2024,Channel Partner,3BHK Comfort,Blubelle/A/1202,560079.0,Bangalore,First Home,37.0,Female,Manufacturing,Salaried,18-36 Lacks,
Blubelle,5.Booking Confirmed,1/1/2024,Investor Sale,3BHK Comfort,Blubelle/A/1302,560009.0,Bangalore,,,Male,Others,Business,,
Blubelle,5.Booking Confirmed,22/6/2024,Channel Partner,3BHK Comfort,Blubelle/A/1402,560079.0,Bangalore,First Home,,Female,IT/ITES,Salaried,36-75 Lakhs,
Blubelle,5.Booking Confirmed,1/1/2024,Investor Sale,3BHK Comfort,Blubelle/A/1502,560009.0,Bangalore,,,Male,Others,Business,,
Blubelle,5.Booking Confirmed,10/12/2023,Digital Marketing,3BHK Comfort,Blubelle/A/1702,575006.0,Mangalore,First Home,55.0,Male,Pharma,Professional,,
Blubelle,5.Booking Confirmed,3/10/2023,Digital Marketing,3BHK Comfort,Blubelle/A/1802,208017.0,Kalyanpur,First Home,,,Others,Salaried,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/1902,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,1/9/2023,Purva Privilege,3BHK Comfort,Blubelle/A/2002,560017.0,Banglore,First Home,57.0,,Others,Retired,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/2102,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/2202,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/2302,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,26/9/2023,Purva Privilege,3BHK Comfort,Blubelle/A/2402,506348.0,Telangana,First Home,53.0,,Others,Business,,
Blubelle,5.Booking Confirmed,24/12/2024,Investor Sale,3BHK Comfort,Blubelle/A/2502,560004.0,Bangalore,First Home,36.0,Male,Others,Business,,20L-25L
Blubelle,5.Booking Confirmed,5/2/2024,Channel Partner,3BHK Comfort,Blubelle/A/2602,560076.0,Bangalore,First Home,30.0,Female,Financial Services,Salaried,37-75 Lakhs,
Blubelle,5.Booking Confirmed,14/5/2024,Investor Sale,3BHK Comfort,Blubelle/A/2702,301019.0,Alwar,Not First Home,,Male,Manufacturing,Business,75 Lakhs,
Blubelle,5.Booking Confirmed,27/4/2023,Investor Sale,3BHK Comfort,Blubelle/A/2902,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,6/7/2025,Channel Partner,3BHK Comfort,Blubelle/A/3002,560037.0,Bengaluru,First Home,29.0,Female,Others,Homemaker,5L-8L,80L-1Cr
Blubelle,5.Booking Confirmed,13/12/2023,Investor Sale,3BHK Comfort,Blubelle/A/3102,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,14/1/2024,Purva Privilege,3BHK Comfort,Blubelle/A/303,560104.0,Bangalore,First Home,,Male,Healthcare,Professional,,
Blubelle,5.Booking Confirmed,31/12/2023,Channel Partner,3BHK Comfort,Blubelle/A/403,831009.0,Jamshedpu,First Home,,Male,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,2/7/2023,Purva Privilege,3BHK Comfort,Blubelle/A/503,560091.0,Bangalore,First Home,,,Others,Salaried,,
Blubelle,5.Booking Confirmed,13/9/2023,Channel Partner,3BHK Comfort,Blubelle/A/703,590016.0,Belgum,First Home,56.0,,Others,Business,,
Blubelle,5.Booking Confirmed,26/7/2023,Digital Marketing,3BHK Comfort,Blubelle/A/803,682021.0,Kerala,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,18/6/2023,Direct WalkIn / Site Branding,3BHK Comfort,Blubelle/A/903,560008.0,Bangalore,First Home,,,Others,Salaried,,
Blubelle,5.Booking Confirmed,29/4/2023,Digital Marketing,3BHK Comfort,Blubelle/A/1003,560008.0,Bangalore,First Home,,,IT/ITES,Professional,,
Blubelle,5.Booking Confirmed,1/10/2023,Channel Partner,3BHK Comfort,Blubelle/A/1103,591108.0,belgaum,First Home,49.0,,Others,Salaried,,
Blubelle,5.Booking Confirmed,8/5/2023,Channel Partner,3BHK Comfort,Blubelle/A/1203,560001.0,Bangalore,First Home,,,Banking,Salaried,,
Blubelle,5.Booking Confirmed,1/1/2024,Investor Sale,3BHK Comfort,Blubelle/A/1303,560009.0,Bangalore,,,Male,Others,Business,,
Blubelle,5.Booking Confirmed,31/7/2023,Channel Partner,3BHK Comfort,Blubelle/A/1403,462030.0,Madhya Pradesh,First Home,35.0,,Others,Salaried,,
Blubelle,5.Booking Confirmed,1/1/2024,Investor Sale,3BHK Comfort,Blubelle/A/1503,560009.0,Bangalore,First Home,,Male,Others,Business,,
Blubelle,5.Booking Confirmed,16/9/2023,Channel Partner,3BHK Comfort,Blubelle/A/1603,586103.0,Bijapur,First Home,26.0,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,16/9/2023,Channel Partner,3BHK Comfort,Blubelle/A/1703,586101.0,Vijayapura,First Home,21.0,,Others,Student,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/1903,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/2103,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/2203,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,15/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/2303,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,1/5/2023,Channel Partner,3BHK Comfort,Blubelle/A/2403,560023.0,Bangalore,First Home,,,Others,,,
Blubelle,5.Booking Confirmed,24/12/2024,Investor Sale,3BHK Comfort,Blubelle/A/2503,560040.0,Bangalore,First Home,,Male,Others,Business,,10L-15L
Blubelle,5.Booking Confirmed,14/5/2024,Investor Sale,3BHK Comfort,Blubelle/A/2703,301019.0,Alwar,Not First Home,,Male,Manufacturing,Business,75 Lakhs,
Blubelle,5.Booking Confirmed,27/4/2023,Investor Sale,3BHK Comfort,Blubelle/A/2903,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,13/12/2023,Investor Sale,3BHK Comfort,Blubelle/A/3103,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,1/9/2023,Digital Marketing,2BHK,Blubelle/A/2003,560017.0,Banglore,First Home,57.0,,Others,Retired,,
Blubelle,5.Booking Confirmed,24/6/2024,Channel Partner,2BHK,Blubelle/A/2803,560042.0,Bangalore,First Home,,Female,IT/ITES,Salaried,36-75 Lakhs,
Blubelle,5.Booking Confirmed,5/7/2025,Exhibition/Event,3BHK LUX,Blubelle/A/204,560103.0,Bangalore,First Home,37.0,Male,IT/ITES,Salaried,60L-80L,
Blubelle,5.Booking Confirmed,5/7/2025,Digital Marketing,3BHK LUX,Blubelle/A/304,560038.0,Bengaluru,First Home,41.0,Male,Oil and Gas,Salaried,50L-60L,
Blubelle,5.Booking Confirmed,21/3/2024,Database,3BHK LUX,Blubelle/A/404,560017.0,Bangalore,First Home,,Male,Financial Services,Salaried,,
Blubelle,5.Booking Confirmed,21/5/2023,Purva Privilege,3BHK LUX,Blubelle/A/504,560093.0,Bangalore,First Home,,,IT/ITES,Professional,,
Blubelle,5.Booking Confirmed,31/7/2023,Digital Marketing,3BHK LUX,Blubelle/A/604,576104.0,Udupi,First Home,54.0,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,1/5/2024,Digital Marketing,3BHK LUX,Blubelle/A/704,625007.0,Madurai,First Home,37.0,Male,IT/ITES,Salaried,36 - 75 Lakhs,
Blubelle,5.Booking Confirmed,28/5/2024,Channel Partner,3BHK LUX,Blubelle/A/904,625014.0,Madurai,First Home,31.0,Female,Others,Salaried,18 -36 Lakhs,
Blubelle,5.Booking Confirmed,24/5/2023,Channel Partner,3BHK LUX,Blubelle/A/1004,560073.0,Bangalore,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,18/6/2023,Channel Partner,3BHK LUX,Blubelle/A/1104,560093.0,Bangalore,First Home,,,Others,Salaried,,
Blubelle,5.Booking Confirmed,7/7/2023,Channel Partner,3BHK LUX,Blubelle/A/1204,560086.0,Bangalore,First Home,,,Others,Retired,,
Blubelle,5.Booking Confirmed,3/3/2025,Channel Partner,3BHK LUX,Blubelle/A/1304,560102.0,Bengaluru,First Home,35.0,Male,Telecom,Salaried,25L-30L,60L-80L
Blubelle,5.Booking Confirmed,28/11/2023,Digital Marketing,3BHK LUX,Blubelle/A/1404,560061.0,BANGALORE,First Home,,Male,Engineering,Professional,,
Blubelle,5.Booking Confirmed,28/9/2025,Digital Marketing,3BHK LUX,Blubelle/A/1504,560048.0,BENGALURU,First Home,34.0,Female,Financial Services,Salaried,40L-50L,2Cr-3Cr
Blubelle,5.Booking Confirmed,2/11/2025,Digital Marketing,3BHK LUX,Blubelle/A/1604,562160.0,Channapatna,First Home,61.0,Female,Others,Homemaker,10L-15L,40L-50L
Blubelle,5.Booking Confirmed,15/1/2026,Channel Partner,3BHK LUX,Blubelle/A/1704,403601.0,,First Home,38.0,Male,IT/ITES,SALARIED,,
Blubelle,5.Booking Confirmed,6/4/2023,Channel Partner,3BHK LUX,Blubelle/A/1804,560049.0,Bangalore,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,23/11/2025,Channel Partner,3BHK LUX,Blubelle/A/1904,560068.0,Bengaluru,First Home,36.0,Male,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,20/5/2024,Digital Marketing,3BHK LUX,Blubelle/A/2004,560032.0,Bengaluru,First Home,43.0,Female,IT/ITES,Salaried,36-75 Lakhs,
Blubelle,5.Booking Confirmed,5/5/2024,Channel Partner,3BHK LUX,Blubelle/A/2104,560040.0,Bangalore,First Home,,Female,Others,HOUSEWIFE,18-36 Lacks,
Blubelle,5.Booking Confirmed,12/12/2024,Digital Marketing,3BHK LUX,Blubelle/A/2204,94085.0,Sunnyvale,First Home,37.0,Female,Others,HOUSEWIFE,NONE,
Blubelle,5.Booking Confirmed,21/9/2025,Channel Partner,3BHK LUX,Blubelle/A/2304,452001.0,Indore,First Home,55.0,Female,Others,Professional,10L-15L,50L-60L
Blubelle,5.Booking Confirmed,22/10/2023,Digital Marketing,3BHK LUX,Blubelle/A/2404,560076.0,Bangalore,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,1/7/2024,Digital Marketing,3BHK LUX,Blubelle/A/2504,600033.0,Chennai,First Home,,Male,IT/ITES,Salaried,>75 Lakhs,
Blubelle,5.Booking Confirmed,6/8/2024,Channel Partner,3BHK LUX,Blubelle/A/2604,560073.0,Bengaluru,First Home,,Male,Others,Salaried,18 -36 Lakhs,
Blubelle,5.Booking Confirmed,15/9/2025,Channel Partner,3BHK LUX,Blubelle/A/2704,98045.0,North Bend,First Home,47.0,Male,IT/ITES,Salaried,&gt;3Cr,
Blubelle,5.Booking Confirmed,9/2/2026,Channel Partner,3BHK LUX,Blubelle/A/2804,400060.0,Mumbai,,34.0,,,SALARIED,,
Blubelle,5.Booking Confirmed,8/10/2023,Digital Marketing,3BHK LUX,Blubelle/A/2904,560103.0,Bangalore,First Home,25.0,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,19/8/2023,Digital Marketing,3BHK Comfort,Blubelle/A/205,560079.0,Bangalore,First Home,46.0,,Healthcare,Professional,>75 Lakhs,
Blubelle,5.Booking Confirmed,18/8/2023,Channel Partner,3BHK Comfort,Blubelle/A/305,580030.0,Dharwad,First Home,30.0,,Manufacturing,Salaried,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/405,560009.0,Bangalore,First Home,,,Others,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/505,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/605,560009.0,Bangalore,First Home,,,Others,HOUSEWIFE,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/705,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/805,560009.0,Bangalore,First Home,,,Others,HOUSEWIFE,,
Blubelle,5.Booking Confirmed,15/4/2023,Channel Partner,3BHK Comfort,Blubelle/A/905,574116.0,Bangalore,First Home,,,Hospitality,Salaried,,
Blubelle,5.Booking Confirmed,13/6/2023,Investor Sale,3BHK Comfort,Blubelle/A/1105,560009.0,Bangalore,Not First Home,,,IT/ITES,Business,,
Blubelle,5.Booking Confirmed,14/5/2024,Investor Sale,3BHK Comfort,Blubelle/A/1205,560011.0,Bangalore,First Home,46.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,17/5/2023,Channel Partner,3BHK Comfort,Blubelle/A/1305,560023.0,Bangalore,First Home,,Male,Real Estate,Salaried,,
Blubelle,5.Booking Confirmed,17/4/2023,Channel Partner,3BHK Comfort,Blubelle/A/1405,560023.0,Bangalore,First Home,,,,HOUSEWIFE,,
Blubelle,5.Booking Confirmed,5/4/2023,Channel Partner,3BHK Comfort,Blubelle/A/1505,560047.0,Bangalore,First Home,,,Others,Salaried,,
Blubelle,5.Booking Confirmed,27/6/2025,Channel Partner,3BHK Comfort,Blubelle/A/1605,560072.0,Bangalore,First Home,58.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,17/8/2024,Digital Marketing,3BHK Comfort,Blubelle/A/1705,560011.0,Bangalore,First Home,,Male,IT/ITES,Salaried,18 - 36 Lakhs,
Blubelle,5.Booking Confirmed,14/10/2024,Channel Partner,3BHK Comfort,Blubelle/A/1805,573201.0,Hassan,First Home,,Male,Others,Business,36-75 Lakhs,
Blubelle,5.Booking Confirmed,1/9/2025,Investor Sale,3BHK Comfort,Blubelle/A/1905,560020.0,Bengaluru,First Home,44.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,25/6/2025,Investor Sale,3BHK Comfort,Blubelle/A/2105,560009.0,Bengaluru,Not First Home,69.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,17/7/2025,Purva Champion,3BHK Comfort,Blubelle/A/2305,560018.0,Bengaluru,First Home,27.0,Male,Manufacturing,Business,15L-20L,15L-20L
Blubelle,5.Booking Confirmed,23/8/2025,Channel Partner,3BHK Comfort,Blubelle/A/2405,560040.0,Bengaluru,First Home,46.0,Male,Manufacturing,Business,40L-50L,40L-50L
Blubelle,5.Booking Confirmed,25/6/2025,Investor Sale,3BHK Comfort,Blubelle/A/2605,560009.0,Bengaluru,Not First Home,69.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,16/11/2025,Purva Privilege,3BHK Comfort,Blubelle/A/2705,560001.0,Bengaluru,First Home,36.0,Male,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,30/12/2024,Purva Privilege,3BHK Comfort,Blubelle/A/2805,560076.0,Bengaluru,First Home,,Male,Pharma,Business,>3Cr,>3Cr
Blubelle,5.Booking Confirmed,17/5/2025,Investor Sale,3BHK Comfort,Blubelle/A/2905,586101.0,Vijayapura,,25.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,11/9/2023,Investor Sale,3BHK Comfort,Blubelle/A/3005,560023.0,Bangalore,First Home,72.0,,,,,
Blubelle,5.Booking Confirmed,13/12/2023,Investor Sale,3BHK Comfort,Blubelle/A/3105,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,4/12/2024,Purva Champion,3BHK Comfort,Blubelle/A/206,560048.0,Bengaluru,First Home,,Female,Others,Salaried,8L-10L,
Blubelle,5.Booking Confirmed,26/5/2025,Investor Sale,3BHK Comfort,Blubelle/A/306,560009.0,Bangalore,First Home,69.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/406,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/506,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/606,560009.0,Bangalore,First Home,,,Others,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/706,560009.0,Bangalore,First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,5/5/2023,Investor Sale,3BHK Comfort,Blubelle/A/806,560009.0,Bangalore,First Home,,,Others,HOUSEWIFE,,
Blubelle,5.Booking Confirmed,30/5/2023,Purva Privilege,3BHK Comfort,Blubelle/A/1006,560040.0,Bangalore,First Home,,,Others,Business,,
Blubelle,5.Booking Confirmed,13/6/2023,Investor Sale,3BHK Comfort,Blubelle/A/1106,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,1/10/2024,Digital Marketing,3BHK Comfort,Blubelle/A/1306,683102.0,kerala,First Home,,Female,IT/ITES,Salaried,18-36 Lakhs,
Blubelle,5.Booking Confirmed,23/7/2023,Digital Marketing,3BHK Comfort,Blubelle/A/1406,679322.0,Kerala,First Home,35.0,,Others,Professional,,
Blubelle,5.Booking Confirmed,23/8/2023,Purva Privilege,3BHK Comfort,Blubelle/A/1506,560079.0,Bangalore,First Home,46.0,,Others,Professional,>75 Lakhs,
Blubelle,5.Booking Confirmed,27/6/2025,Channel Partner,3BHK Comfort,Blubelle/A/1606,560072.0,Bangalore,First Home,58.0,Male,Others,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,22/6/2025,Channel Partner,3BHK Comfort,Blubelle/A/1706,571201.0,Madikeri,First Home,23.0,Male,Others,Professional,<5 lacs,
Blubelle,5.Booking Confirmed,28/6/2025,Purva Privilege,3BHK Comfort,Blubelle/A/1806,518001.0,Kurnool,,,Male,IT/ITES,Salaried,10L-15L,
Blubelle,5.Booking Confirmed,2/1/2024,Purva Privilege,3BHK Comfort,Blubelle/A/1906,570011.0,Mysore,First Home,,Male,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,5/1/2024,Purva Privilege,3BHK Comfort,Blubelle/A/2006,440018.0,Nagpur,First Home,,Female,Advertising,Salaried,,
Blubelle,5.Booking Confirmed,26/5/2025,Investor Sale,3BHK Comfort,Blubelle/A/2106,560009.0,Bangalore,,69.0,Other,Real Estate,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,28/2/2024,Exhibition/Event,3BHK Comfort,Blubelle/A/2206,518501.0,Kurnool,First Home,47.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,31/7/2024,Purva Champion,3BHK Comfort,Blubelle/A/2306,560070.0,Bangalore,First Home,,Female,Banking,Salaried,36-75 Lakhs,
Blubelle,5.Booking Confirmed,8/5/2025,Investor Sale,3BHK Comfort,Blubelle/A/2506,560009.0,Bangalore,First Home,15.0,Male,Real Estate,Business,"75,00,000",80L-1Cr
Blubelle,5.Booking Confirmed,31/12/2024,Purva Privilege,3BHK Comfort,Blubelle/A/2806,560076.0,Bengaluru,First Home,62.0,Male,Pharma,Business,>3Cr,>3Cr
Blubelle,5.Booking Confirmed,17/5/2025,Investor Sale,3BHK Comfort,Blubelle/A/2906,586101.0,Vijayapura,First Home,26.0,Male,Others,Salaried,,
Blubelle,5.Booking Confirmed,11/9/2023,Investor Sale,3BHK Comfort,Blubelle/A/3006,560023.0,BANGALORE,First Home,72.0,,Others,Salaried,,
Blubelle,5.Booking Confirmed,13/12/2023,Investor Sale,3BHK Comfort,Blubelle/A/3106,560009.0,Bangalore,Not First Home,,,Real Estate,Business,,
Blubelle,5.Booking Confirmed,8/5/2025,Investor Sale,3BHK LUX,Blubelle/B/101,560009.0,Bangalore,First Home,,Other,Real Estate,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,8/5/2025,Investor Sale,3BHK Comfort,Blubelle/B/105,560009.0,Bangalore,First Home,,Male,Real Estate,Business,>75 Lakhs,
Blubelle,5.Booking Confirmed,3/3/2024,Direct WalkIn / Site Branding,3BHK LUX,Blubelle/B/201,560004.0,Bangalore,First Home,,Female,Others,Retired,,
Blubelle,5.Booking Confirmed,1/1/2024,Investor Sale,3BHK LUX,Blubelle/B/301,560009.0,Bangalore,,,Male,Others,Business,,
Blubelle,5.Booking Confirmed,4/5/2023,Print Media,3BHK LUX,Blubelle/B/401,570011.0,Mysore,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,7/9/2023,Digital Marketing,3BHK LUX,Blubelle/B/501,560079.0,Bangalore,First Home,65.0,,Others,Retired,,
Blubelle,5.Booking Confirmed,16/11/2023,Channel Partner,3BHK LUX,Blubelle/B/601,560076.0,Bangalore,First Home,,Male,Infrastructure,Salaried,,
Blubelle,5.Booking Confirmed,27/8/2023,Digital Marketing,3BHK LUX,Blubelle/B/701,695010.0,Thiruvanthapuram,First Home,51.0,,Others,Salaried,,
Blubelle,5.Booking Confirmed,1/1/2024,Investor Sale,3BHK LUX,Blubelle/B/801,560009.0,Bangalore,Not First Home,,Male,Others,Business,,
Blubelle,5.Booking Confirmed,27/8/2023,Direct WalkIn / Site Branding,3BHK LUX,Blubelle/B/901,560010.0,Bangalore,First Home,34.0,,Healthcare,Professional,18-36 Lakhs,
Blubelle,5.Booking Confirmed,2/7/2023,Channel Partner,3BHK LUX,Blubelle/B/1001,560094.0,Bangalore,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,1/7/2023,Direct WalkIn / Site Branding,3BHK LUX,Blubelle/B/1101,560054.0,Bangalore,First Home,,,IT/ITES,Salaried,,
Blubelle,5.Booking Confirmed,24/12/2023,Channel Partner,3BHK LUX,Blubelle/B/1201,587102.0,Bagalkot,First Home,,Female,Others,Business,,
